SETTLEMENTDATE,REGIONID,RRP
2025/06/30 14:05:00,QLD1,56.39976
2025/06/30 14:10:00,QLD1,57.10475
2025/06/30 14:15:00,QLD1,89.69
2025/06/30 14:20:00,QLD1,83.45
2025/06/30 14:25:00,QLD1,108.75
2025/06/30 14:30:00,QLD1,149.44264
2025/06/30 14:35:00,QLD1,108.75
2025/06/30 14:40:00,QLD1,112.80685
2025/06/30 14:45:00,QLD1,175.01809
2025/06/30 14:50:00,QLD1,173.3651
2025/06/30 14:55:00,QLD1,179.64224
2025/06/30 15:00:00,QLD1,151.02642
2025/06/30 15:05:00,QLD1,74.30324
2025/06/30 15:10:00,QLD1,103.68626
2025/06/30 15:15:00,QLD1,102.33238
2025/06/30 15:20:00,QLD1,103.18172
2025/06/30 15:25:00,QLD1,284.92367
2025/06/30 15:30:00,QLD1,287.72209
2025/06/30 15:35:00,QLD1,201.37981
2025/06/30 15:40:00,QLD1,188.87727
2025/06/30 15:45:00,QLD1,247.11344
2025/06/30 15:50:00,QLD1,279.66842
2025/06/30 15:55:00,QLD1,278.21
2025/06/30 16:00:00,QLD1,287.31449
2025/06/30 16:05:00,QLD1,291.14691
2025/06/30 16:10:00,QLD1,200.08711
2025/06/30 16:15:00,QLD1,243.0
2025/06/30 16:20:00,QLD1,203.95377
2025/06/30 16:25:00,QLD1,249.34082
2025/06/30 16:30:00,QLD1,249.0
2025/06/30 16:35:00,QLD1,276.63846
2025/06/30 16:40:00,QLD1,278.21
2025/06/30 16:45:00,QLD1,284.63588
2025/06/30 16:50:00,QLD1,307.21627
2025/06/30 16:55:00,QLD1,349.73
2025/06/30 17:00:00,QLD1,349.73
2025/06/30 17:05:00,QLD1,310.24719
2025/06/30 17:10:00,QLD1,303.19629
2025/06/30 17:15:00,QLD1,316.19037
2025/06/30 17:20:00,QLD1,304.8637
2025/06/30 17:25:00,QLD1,305.97415
2025/06/30 17:30:00,QLD1,350.0
2025/06/30 17:35:00,QLD1,349.73
2025/06/30 17:40:00,QLD1,364.44435
2025/06/30 17:45:00,QLD1,304.86446
2025/06/30 17:50:00,QLD1,312.00347
2025/06/30 17:55:00,QLD1,319.94211
2025/06/30 18:00:00,QLD1,361.1306
2025/06/30 18:05:00,QLD1,298.49173
2025/06/30 18:10:00,QLD1,278.85964
2025/06/30 18:15:00,QLD1,294.63
2025/06/30 18:20:00,QLD1,281.37859
2025/06/30 18:25:00,QLD1,230.64839
2025/06/30 18:30:00,QLD1,265.24223
2025/06/30 18:35:00,QLD1,265.62
2025/06/30 18:40:00,QLD1,275.35747
2025/06/30 18:45:00,QLD1,279.40645
2025/06/30 18:50:00,QLD1,272.87618
2025/06/30 18:55:00,QLD1,276.44998
2025/06/30 19:00:00,QLD1,272.80418
2025/06/30 19:05:00,QLD1,277.34768
2025/06/30 19:10:00,QLD1,277.0
2025/06/30 19:15:00,QLD1,277.0
2025/06/30 19:20:00,QLD1,278.63184
2025/06/30 19:25:00,QLD1,277.85405
2025/06/30 19:30:00,QLD1,269.77173
2025/06/30 19:35:00,QLD1,286.79478
2025/06/30 19:40:00,QLD1,277.0
2025/06/30 19:45:00,QLD1,278.77968
2025/06/30 19:50:00,QLD1,228.27531
2025/06/30 19:55:00,QLD1,249.81734
2025/06/30 20:00:00,QLD1,234.90895
2025/06/30 20:05:00,QLD1,251.53655
2025/06/30 20:10:00,QLD1,243.0
2025/06/30 20:15:00,QLD1,223.73005
2025/06/30 20:20:00,QLD1,230.0
2025/06/30 20:25:00,QLD1,231.00306
2025/06/30 20:30:00,QLD1,236.34461
2025/06/30 20:35:00,QLD1,214.44
2025/06/30 20:40:00,QLD1,214.44
2025/06/30 20:45:00,QLD1,260.06874
2025/06/30 20:50:00,QLD1,232.40174
2025/06/30 20:55:00,QLD1,227.88621
2025/06/30 21:00:00,QLD1,224.45412
2025/06/30 21:05:00,QLD1,186.69201
2025/06/30 21:10:00,QLD1,230.0
2025/06/30 21:15:00,QLD1,185.11343
2025/06/30 21:20:00,QLD1,194.58335
2025/06/30 21:25:00,QLD1,197.47293
2025/06/30 21:30:00,QLD1,190.08622
2025/06/30 21:35:00,QLD1,182.8945
2025/06/30 21:40:00,QLD1,183.75624
2025/06/30 21:45:00,QLD1,184.72198
2025/06/30 21:50:00,QLD1,183.64298
2025/06/30 21:55:00,QLD1,161.0
2025/06/30 22:00:00,QLD1,165.23305
2025/06/30 22:05:00,QLD1,163.27476
2025/06/30 22:10:00,QLD1,190.28672
2025/06/30 22:15:00,QLD1,175.45208
2025/06/30 22:20:00,QLD1,169.61272
2025/06/30 22:25:00,QLD1,161.41593
2025/06/30 22:30:00,QLD1,152.51639
2025/06/30 22:35:00,QLD1,162.95
2025/06/30 22:40:00,QLD1,171.35931
2025/06/30 22:45:00,QLD1,171.25064
2025/06/30 22:50:00,QLD1,153.96444
2025/06/30 22:55:00,QLD1,155.16487
2025/06/30 23:00:00,QLD1,129.45
2025/06/30 23:05:00,QLD1,138.32568
2025/06/30 23:10:00,QLD1,141.83223
2025/06/30 23:15:00,QLD1,152.81543
2025/06/30 23:20:00,QLD1,150.02692
2025/06/30 23:25:00,QLD1,142.52078
2025/06/30 23:30:00,QLD1,114.65358
2025/06/30 23:35:00,QLD1,127.9333
2025/06/30 23:40:00,QLD1,125.05457
2025/06/30 23:45:00,QLD1,128.87582
2025/06/30 23:50:00,QLD1,119.12073
2025/06/30 23:55:00,QLD1,117.52887
2025/07/01 00:00:00,QLD1,95.97204
2025/07/01 00:05:00,QLD1,153.51486
2025/07/01 00:10:00,QLD1,158.49201
2025/07/01 00:15:00,QLD1,146.94201
2025/07/01 00:20:00,QLD1,161.99002
2025/07/01 00:25:00,QLD1,161.99002
2025/07/01 00:30:00,QLD1,161.99002
2025/07/01 00:35:00,QLD1,159.32351
2025/07/01 00:40:00,QLD1,159.96051
2025/07/01 00:45:00,QLD1,136.40306
2025/07/01 00:50:00,QLD1,152.22687
2025/07/01 00:55:00,QLD1,139.72446
2025/07/01 01:00:00,QLD1,136.2107
2025/07/01 01:05:00,QLD1,136.9294
2025/07/01 01:10:00,QLD1,154.10154
2025/07/01 01:15:00,QLD1,137.83593
2025/07/01 01:20:00,QLD1,153.39164
2025/07/01 01:25:00,QLD1,136.42445
2025/07/01 01:30:00,QLD1,136.45779
2025/07/01 01:35:00,QLD1,153.07584
2025/07/01 01:40:00,QLD1,152.10056
2025/07/01 01:45:00,QLD1,152.97196
2025/07/01 01:50:00,QLD1,152.97547
2025/07/01 01:55:00,QLD1,138.60283
2025/07/01 02:00:00,QLD1,136.80147
2025/07/01 02:05:00,QLD1,135.17852
2025/07/01 02:10:00,QLD1,133.99823
2025/07/01 02:15:00,QLD1,134.02028
2025/07/01 02:20:00,QLD1,123.41891
2025/07/01 02:25:00,QLD1,121.10186
2025/07/01 02:30:00,QLD1,121.5284
2025/07/01 02:35:00,QLD1,135.67921
2025/07/01 02:40:00,QLD1,120.90546
2025/07/01 02:45:00,QLD1,115.38
2025/07/01 02:50:00,QLD1,119.9622
2025/07/01 02:55:00,QLD1,97.86001
2025/07/01 03:00:00,QLD1,125.17537
2025/07/01 03:05:00,QLD1,95.25567
2025/07/01 03:10:00,QLD1,96.56
2025/07/01 03:15:00,QLD1,115.38
2025/07/01 03:20:00,QLD1,116.6
2025/07/01 03:25:00,QLD1,96.56
2025/07/01 03:30:00,QLD1,106.00805
2025/07/01 03:35:00,QLD1,94.01908
2025/07/01 03:40:00,QLD1,115.38
